CCP,URL,article_title
CCP 1262,https://www.legis.la.gov/legis/Law.aspx?d=111163,Same; secretary of state
CCP 1263,https://www.legis.la.gov/legis/Law.aspx?d=111164,Partnership
CCP 1264,https://www.legis.la.gov/legis/Law.aspx?d=111165,Unincorporated association
CCP 1265,https://www.legis.la.gov/legis/Law.aspx?d=111166,Political entity; public officer
CCP 1266,https://www.legis.la.gov/legis/Law.aspx?d=111167,Limited liability company
CCP 1267,https://www.legis.la.gov/legis/Law.aspx?d=111168,Same; service on secretary of state
CCP 1291,https://www.legis.la.gov/legis/Law.aspx?d=111169,Service by sheriff
CCP 1292,https://www.legis.la.gov/legis/Law.aspx?d=111170,Sheriff's return
CCP 1293,https://www.legis.la.gov/legis/Law.aspx?d=111171,Service by private person
CCP 1311,https://www.legis.la.gov/legis/Law.aspx?d=111172,Service of copy of exhibit to pleading unnecessary
CCP 1312,https://www.legis.la.gov/legis/Law.aspx?d=111173,Service of pleadings subsequent to petition; exceptions
CCP 1313,https://www.legis.la.gov/legis/Law.aspx?d=111174,"Service by mail, delivery, or electronic means"
CCP 1314,https://www.legis.la.gov/legis/Law.aspx?d=111175,Same; service by sheriff
CCP 1351,https://www.legis.la.gov/legis/Law.aspx?d=111176,Issuance; form
CCP 1352,https://www.legis.la.gov/legis/Law.aspx?d=111177,Restrictions on subpoena
CCP 1353,https://www.legis.la.gov/legis/Law.aspx?d=111178,Prepayment of fees
CCP 1354,https://www.legis.la.gov/legis/Law.aspx?d=111179,Subpoena duces tecum
CCP 1355,https://www.legis.la.gov/legis/Law.aspx?d=111180,Service of subpoena
CCP 1355.1,https://www.legis.la.gov/legis/Law.aspx?d=111181,Reissuance of subpoena; service by certified or registered mail
CCP 1356,https://www.legis.la.gov/legis/Law.aspx?d=111182,Subpoenas and subpoenas duces tecum for depositions or inspections
CCP 1357,https://www.legis.la.gov/legis/Law.aspx?d=111183,Failure to comply with subpoena
CCP 1391,https://www.legis.la.gov/legis/Law.aspx?d=111184,"Repealed by Acts 1988, No. 515, 7, eff. Jan. 1, 1989."
CCP 1392,https://www.legis.la.gov/legis/Law.aspx?d=111185,Proof of statutes
CCP 1393,https://www.legis.la.gov/legis/Law.aspx?d=111186,"Repealed by Acts 1988, No. 515, 7, eff. Jan. 1, 1989."
CCP 1394,https://www.legis.la.gov/legis/Law.aspx?d=111187,"Repealed by Acts 1988, No. 515, 7, eff. Jan. 1, 1989."
CCP 1395,https://www.legis.la.gov/legis/Law.aspx?d=111188,"Repealed by Acts 1988, No. 515, 7, eff. Jan. 1, 1989."
CCP 1396,https://www.legis.la.gov/legis/Law.aspx?d=111189,"Repealed by Acts 1988, No. 515, 7, eff. Jan. 1, 1989."
CCP 1397,https://www.legis.la.gov/legis/Law.aspx?d=111190,"Repealed by Acts 1988, No. 515, 7, eff. Jan. 1, 1989."
CCP 1420,https://www.legis.la.gov/legis/Law.aspx?d=111191,"Signing of discovery requests, responses, or objections"
CCP 1421,https://www.legis.la.gov/legis/Law.aspx?d=111192,Discovery methods
CCP 1422,https://www.legis.la.gov/legis/Law.aspx?d=111193,Scope of discovery; in general
CCP 1422.1,https://www.legis.la.gov/legis/Law.aspx?d=113431,Scope of discovery; records of the Louisiana Bureau of Criminal Identification and Information
CCP 1423,https://www.legis.la.gov/legis/Law.aspx?d=111194,Scope of discovery; insurance agreements
CCP 1424,https://www.legis.la.gov/legis/Law.aspx?d=111195,Scope of discovery; trial preparation; materials
CCP 1425,https://www.legis.la.gov/legis/Law.aspx?d=111196,Experts; pretrial disclosures; scope of discovery
CCP 1426,https://www.legis.la.gov/legis/Law.aspx?d=111197,Protective orders
CCP 1426.1,https://www.legis.la.gov/legis/Law.aspx?d=813926,Stay of discovery in civil matters by a district attorney in a related criminal matter
CCP 1427,https://www.legis.la.gov/legis/Law.aspx?d=111198,Sequence and timing of discovery
CCP 1428,https://www.legis.la.gov/legis/Law.aspx?d=111199,Supplementation of responses
CCP 1429,https://www.legis.la.gov/legis/Law.aspx?d=111200,Perpetuation of testimony; petition
CCP 1430,https://www.legis.la.gov/legis/Law.aspx?d=111201,Notice and service of petition; perpetuation of testimony
CCP 1430.1,https://www.legis.la.gov/legis/Law.aspx?d=111202,Ex parte order; death or incapacitating illness
CCP 1431,https://www.legis.la.gov/legis/Law.aspx?d=111203,Order and examination; perpetuation of testimony
CCP 1432,https://www.legis.la.gov/legis/Law.aspx?d=111204,Use of deposition
CCP 1433,https://www.legis.la.gov/legis/Law.aspx?d=111205,Deposition after trial
CCP 1434,https://www.legis.la.gov/legis/Law.aspx?d=111206,Person before whom deposition taken
CCP 1435,https://www.legis.la.gov/legis/Law.aspx?d=111207,"Deposition taken in another state, or in a territory, district, or foreign jurisdiction; exceptions; nonresident insurance claims adjusters"
CCP 1436,https://www.legis.la.gov/legis/Law.aspx?d=111208,Stipulations; manner of taking; modification of procedures
CCP 1436.1,https://www.legis.la.gov/legis/Law.aspx?d=111209,Depositions by telephone
CCP 1437,https://www.legis.la.gov/legis/Law.aspx?d=111210,Deposition upon oral examination; when deposition may be taken
CCP 1438,https://www.legis.la.gov/legis/Law.aspx?d=111211,Notice of examination; time and place; subpoena duces tecum
CCP 1439,https://www.legis.la.gov/legis/Law.aspx?d=111212,Special notice
CCP 1440,https://www.legis.la.gov/legis/Law.aspx?d=111213,Nonstenographic recordation of testimony
CCP 1441,https://www.legis.la.gov/legis/Law.aspx?d=111214,Production of documents and things
CCP 1442,https://www.legis.la.gov/legis/Law.aspx?d=111215,Deposition of an organization
CCP 1443,https://www.legis.la.gov/legis/Law.aspx?d=111216,Examination and cross-examination; record of examination; oath; objections
CCP 1444,https://www.legis.la.gov/legis/Law.aspx?d=111217,Motion to terminate; limit examination
CCP 1445,https://www.legis.la.gov/legis/Law.aspx?d=111218,Submission to witness; changes; signing
CCP 1446,https://www.legis.la.gov/legis/Law.aspx?d=111219,Certification by officer; custody of deposition; exhibits; copies; notice of availability for inspection or copying; cost of originals and copies of transcripts
CCP 1447,https://www.legis.la.gov/legis/Law.aspx?d=111220,Failure to attend or to serve subpoena; expenses
CCP 1448,https://www.legis.la.gov/legis/Law.aspx?d=111221,Serving written questions; notice
CCP 1449,https://www.legis.la.gov/legis/Law.aspx?d=111222,Taking of testimony; preparation of record; notice of filing
CCP 1450,https://www.legis.la.gov/legis/Law.aspx?d=111223,Use of depositions
CCP 1451,https://www.legis.la.gov/legis/Law.aspx?d=111224,Objections to admissibility
CCP 1452,https://www.legis.la.gov/legis/Law.aspx?d=111225,Effect of taking or using depositions; deposing attorneys of record
CCP 1453,https://www.legis.la.gov/legis/Law.aspx?d=111226,Objection to irregularities in notice; waiver
CCP 1454,https://www.legis.la.gov/legis/Law.aspx?d=111227,Objections as to disqualification of officer; waiver
CCP 1455,https://www.legis.la.gov/legis/Law.aspx?d=111228,"Objections, competency of witnesses; relevancy of testimony; manner or form of taking deposition"
CCP 1456,https://www.legis.la.gov/legis/Law.aspx?d=111229,Objection as to completion and return of deposition
CCP 1457,https://www.legis.la.gov/legis/Law.aspx?d=111230,"Interrogatories to parties; availability; additional, hearing required"
CCP 1458,https://www.legis.la.gov/legis/Law.aspx?d=111231,Interrogatories to parties; procedures for use
CCP 1459,https://www.legis.la.gov/legis/Law.aspx?d=111232,Interrogatories to parties; scope; use at trial
CCP 1460,https://www.legis.la.gov/legis/Law.aspx?d=111233,Option to produce business records
CCP 1461,https://www.legis.la.gov/legis/Law.aspx?d=111234,Production of documents and things; entry upon land; scope
CCP 1462,https://www.legis.la.gov/legis/Law.aspx?d=111235,Production of documents and things; entry upon land; procedure
CCP 1463,https://www.legis.la.gov/legis/Law.aspx?d=111236,"Production of documents and things; entry upon land, persons not parties"
CCP 1464,https://www.legis.la.gov/legis/Law.aspx?d=111237,Order for an additional medical opinion for physical or mental examination of persons
CCP 1465,https://www.legis.la.gov/legis/Law.aspx?d=111238,Report of examining physician
CCP 1465.1,https://www.legis.la.gov/legis/Law.aspx?d=111239,Requests for release of medical records
CCP 1466,https://www.legis.la.gov/legis/Law.aspx?d=111240,Requests for admission; service of request
CCP 1467,https://www.legis.la.gov/legis/Law.aspx?d=111241,Requests for admission; answers and objections
CCP 1468,https://www.legis.la.gov/legis/Law.aspx?d=111242,Requests for admissions; effect of admission
CCP 1469,https://www.legis.la.gov/legis/Law.aspx?d=111243,Motion for order compelling discovery
CCP 1469.1,https://www.legis.la.gov/legis/Law.aspx?d=111244,Order compelling discovery of medical records
CCP 1469.2,https://www.legis.la.gov/legis/Law.aspx?d=111245,Order compelling discovery of financial records; notice
CCP 1470,https://www.legis.la.gov/legis/Law.aspx?d=111246,Failure to comply with order compelling discovery; contempt
CCP 1471,https://www.legis.la.gov/legis/Law.aspx?d=111247,Failure to comply with order compelling discovery; sanctions
CCP 1472,https://www.legis.la.gov/legis/Law.aspx?d=111248,Failure to admit; expenses
CCP 1473,https://www.legis.la.gov/legis/Law.aspx?d=111249,"Failure to attend deposition, serve answers or respond to request for inspection"
CCP 1474,https://www.legis.la.gov/legis/Law.aspx?d=111250,"Service of written objections, notices, requests, affidavits, interrogatories, and answers thereto"
CCP 1475,https://www.legis.la.gov/legis/Law.aspx?d=111251,Affidavit for medical cost; counter affidavit; service
CCP 1551,https://www.legis.la.gov/legis/Law.aspx?d=111257,Pretrial and scheduling conference; order
CCP 1552,https://www.legis.la.gov/legis/Law.aspx?d=813927,Environmental management orders
CCP 1561,https://www.legis.la.gov/legis/Law.aspx?d=111259,Consolidation for trial or other limited purposes
CCP 1562,https://www.legis.la.gov/legis/Law.aspx?d=111260,"Separate trials of issues of insurance coverage, liability, and damages"
CCP 1563,https://www.legis.la.gov/legis/Law.aspx?d=813928,Limited admission of liability in environmental damage lawsuits; effect
CCP 1571,https://www.legis.la.gov/legis/Law.aspx?d=111262,Assignment by court rule
CCP 1572,https://www.legis.la.gov/legis/Law.aspx?d=111263,Written request for notice of trial
CCP 1573,https://www.legis.la.gov/legis/Law.aspx?d=111264,Assignment of trials; preference; terminally ill
CCP 1601,https://www.legis.la.gov/legis/Law.aspx?d=111268,Discretionary grounds
CCP 1602,https://www.legis.la.gov/legis/Law.aspx?d=111269,Peremptory grounds
CCP 1603,https://www.legis.la.gov/legis/Law.aspx?d=111270,Motion for continuance
CCP 1604,https://www.legis.la.gov/legis/Law.aspx?d=111271,Prevention of continuance by admission of adverse party
CCP 1605,https://www.legis.la.gov/legis/Law.aspx?d=111272,Trial of motion; order
CCP 1631,https://www.legis.la.gov/legis/Law.aspx?d=111274,Power of court over proceedings; exclusion of witnesses; mistrial
CCP 1632,https://www.legis.la.gov/legis/Law.aspx?d=111275,Order of trial
CCP 1633,https://www.legis.la.gov/legis/Law.aspx?d=111276,Oath or affirmation of witnesses; refusal to testify
CCP 1633.1,https://www.legis.la.gov/legis/Law.aspx?d=451471,Live trial testimony by video
CCP 1634,https://www.legis.la.gov/legis/Law.aspx?d=111277,Cross-examination of a party or person identified with a party
CCP 1635,https://www.legis.la.gov/legis/Law.aspx?d=111278,Exceptions unnecessary
CCP 1636,https://www.legis.la.gov/legis/Law.aspx?d=111279,Evidence held inadmissible; record or statement as to nature thereof
CCP 1637,https://www.legis.la.gov/legis/Law.aspx?d=111280,Completion of trial; pronouncement of judgment
CCP 1671,https://www.legis.la.gov/legis/Law.aspx?d=111281,Voluntary dismissal
CCP 1672,https://www.legis.la.gov/legis/Law.aspx?d=111282,Involuntary dismissal
CCP 1673,https://www.legis.la.gov/legis/Law.aspx?d=111283,Effect of dismissal with or without prejudice
CCP 1701,https://www.legis.la.gov/legis/Law.aspx?d=111284,"Repealed by Acts 2021, No. 174, eff. Jan. 1, 2022."
CCP 1702,https://www.legis.la.gov/legis/Law.aspx?d=111285,Default judgment
CCP 1702.1,https://www.legis.la.gov/legis/Law.aspx?d=111286,Default judgment without hearing in open court; required information; certifications
CCP 1703,https://www.legis.la.gov/legis/Law.aspx?d=111287,Scope of judgment
CCP 1704,https://www.legis.la.gov/legis/Law.aspx?d=111288,Default judgment in suits against the state or a political subdivision
CCP 1731,https://www.legis.la.gov/legis/Law.aspx?d=111289,Issues triable by jury
CCP 1732,https://www.legis.la.gov/legis/Law.aspx?d=111290,Limitation upon jury trials
CCP 1733,https://www.legis.la.gov/legis/Law.aspx?d=111291,Demand for jury trial; bond for costs
CCP 1734,https://www.legis.la.gov/legis/Law.aspx?d=111292,Fixing the bond; calling the jury venire
CCP 1734.1,https://www.legis.la.gov/legis/Law.aspx?d=111293,Cash deposit; procedure
CCP 1735,https://www.legis.la.gov/legis/Law.aspx?d=111294,Specification of issues
CCP 1736,https://www.legis.la.gov/legis/Law.aspx?d=111295,Trial of less than all issues; stipulation
CCP 1751,https://www.legis.la.gov/legis/Law.aspx?d=111296,Qualification and exemptions of jurors
CCP 1761,https://www.legis.la.gov/legis/Law.aspx?d=111297,Procedure in general
CCP 1762,https://www.legis.la.gov/legis/Law.aspx?d=111298,Swearing of juror before examination
CCP 1763,https://www.legis.la.gov/legis/Law.aspx?d=111299,Examination of juror
CCP 1764,https://www.legis.la.gov/legis/Law.aspx?d=111300,Peremptory challenges
CCP 1765,https://www.legis.la.gov/legis/Law.aspx?d=111301,Challenges for cause
CCP 1766,https://www.legis.la.gov/legis/Law.aspx?d=111302,Time for challenges; method
CCP 1767,https://www.legis.la.gov/legis/Law.aspx?d=111303,Challenging or excusing jurors after acceptance
CCP 1768,https://www.legis.la.gov/legis/Law.aspx?d=111304,Swearing of jurors; selection of foreman
CCP 1769,https://www.legis.la.gov/legis/Law.aspx?d=111305,Alternate jurors
CCP 1791,https://www.legis.la.gov/legis/Law.aspx?d=111306,Comment on facts by judge prohibited
CCP 1792,https://www.legis.la.gov/legis/Law.aspx?d=111307,Charge to the jury
CCP 1793,https://www.legis.la.gov/legis/Law.aspx?d=111308,Instructions to jury; objections
CCP 1794,https://www.legis.la.gov/legis/Law.aspx?d=111309,Taking evidence to jury room
CCP 1795,https://www.legis.la.gov/legis/Law.aspx?d=111310,Jury request to review testimony
CCP 1796,https://www.legis.la.gov/legis/Law.aspx?d=111311,Additional instructions
CCP 1797,https://www.legis.la.gov/legis/Law.aspx?d=111312,Number required for verdict
CCP 1810,https://www.legis.la.gov/legis/Law.aspx?d=111313,Directed verdicts
CCP 1810.1,https://www.legis.la.gov/legis/Law.aspx?d=111314,"Repealed by Acts 1983, No. 534, 11."
CCP 1811,https://www.legis.la.gov/legis/Law.aspx?d=111315,Motion for judgment notwithstanding the verdict
CCP 1812,https://www.legis.la.gov/legis/Law.aspx?d=111316,Special verdicts
CCP 1813,https://www.legis.la.gov/legis/Law.aspx?d=111317,General verdict accompanied by answer to interrogatories
CCP 1814,https://www.legis.la.gov/legis/Law.aspx?d=111318,Remittitur or additur as alternative to new trial; reformation of verdict
CCP 1841,https://www.legis.la.gov/legis/Law.aspx?d=111319,"Judgments, interlocutory and final"
CCP 1842,https://www.legis.la.gov/legis/Law.aspx?d=111320,"Repealed by Acts 1990, No. 521, 3, eff. Jan. 1, 1991."
CCP 1843,https://www.legis.la.gov/legis/Law.aspx?d=111321,Default judgment
CCP 1844,https://www.legis.la.gov/legis/Law.aspx?d=111322,Judgment of dismissal; effect
CCP 1871,https://www.legis.la.gov/legis/Law.aspx?d=111323,Declaratory judgments; scope
CCP 1872,https://www.legis.la.gov/legis/Law.aspx?d=111324,"Interested parties may obtain declaration of rights, status, or other legal relations"
CCP 1873,https://www.legis.la.gov/legis/Law.aspx?d=111325,Construction of contract
CCP 1874,https://www.legis.la.gov/legis/Law.aspx?d=111326,Interested person may obtain declaration of rights; purpose
CCP 1875,https://www.legis.la.gov/legis/Law.aspx?d=111327,Powers enumerated not exclusive
CCP 1876,https://www.legis.la.gov/legis/Law.aspx?d=111328,Court may refuse declaratory judgment
CCP 1877,https://www.legis.la.gov/legis/Law.aspx?d=111329,Review of judgments and decrees
CCP 1878,https://www.legis.la.gov/legis/Law.aspx?d=111330,Supplemental relief; expedited hearing for constitutional determination; effect of pendency of other proceedings
CCP 1879,https://www.legis.la.gov/legis/Law.aspx?d=111331,Trial and determination of issue of fact
CCP 1880,https://www.legis.la.gov/legis/Law.aspx?d=111332,Parties
CCP 1881,https://www.legis.la.gov/legis/Law.aspx?d=111333,Construction
CCP 1882,https://www.legis.la.gov/legis/Law.aspx?d=111334,Provisions independent and severable
CCP 1883,https://www.legis.la.gov/legis/Law.aspx?d=111335,Uniformity of interpretation
CCP 1911,https://www.legis.la.gov/legis/Law.aspx?d=111337,Final judgment; partial final judgment; signing; appeals
CCP 1912,https://www.legis.la.gov/legis/Law.aspx?d=111338,Final judgment
CCP 1913,https://www.legis.la.gov/legis/Law.aspx?d=111339,Notice of judgment
CCP 1914,https://www.legis.la.gov/legis/Law.aspx?d=111340,Interlocutory judgments; notice; delay for further action
CCP 1915,https://www.legis.la.gov/legis/Law.aspx?d=111341,Partial final judgment; partial judgment; partial exception; partial summary judgment
CCP 1916,https://www.legis.la.gov/legis/Law.aspx?d=111342,Jury cases; compromise agreements; signature of judgment by the court
CCP 1917,https://www.legis.la.gov/legis/Law.aspx?d=111343,Findings of the court and reasons for judgment
CCP 1918,https://www.legis.la.gov/legis/Law.aspx?d=111344,Form of final judgment
CCP 1919,https://www.legis.la.gov/legis/Law.aspx?d=111345,Judgment affecting immovable property; particular description
CCP 1920,https://www.legis.la.gov/legis/Law.aspx?d=111348,Costs; parties liable; procedure for taxing
CCP 1921,https://www.legis.la.gov/legis/Law.aspx?d=111349,Interest allowed by the judgment
CCP 1922,https://www.legis.la.gov/legis/Law.aspx?d=111350,Money judgments; judgment debtor; date of birth; social security number
CCP 1951,https://www.legis.la.gov/legis/Law.aspx?d=111354,Amendment of judgment
CCP 1971,https://www.legis.la.gov/legis/Law.aspx?d=111357,Granting of new trial
CCP 1972,https://www.legis.la.gov/legis/Law.aspx?d=111358,Peremptory grounds
CCP 1973,https://www.legis.la.gov/legis/Law.aspx?d=111359,Discretionary grounds
CCP 1974,https://www.legis.la.gov/legis/Law.aspx?d=111360,Delay for applying for new trial
CCP 1975,https://www.legis.la.gov/legis/Law.aspx?d=111361,Application for new trial; verifying affidavit
CCP 1976,https://www.legis.la.gov/legis/Law.aspx?d=111362,Service of notice
CCP 1977,https://www.legis.la.gov/legis/Law.aspx?d=111363,Assignment of new trial
CCP 1978,https://www.legis.la.gov/legis/Law.aspx?d=111364,Procedure in new trial
CCP 1979,https://www.legis.la.gov/legis/Law.aspx?d=111365,Summary decision on motion; maximum delays
CCP 2001,https://www.legis.la.gov/legis/Law.aspx?d=111367,Grounds in general
CCP 2002,https://www.legis.la.gov/legis/Law.aspx?d=111368,Annulment for vices of form; time for action
CCP 2003,https://www.legis.la.gov/legis/Law.aspx?d=111369,Same; action lost through acquiescence
CCP 2004,https://www.legis.la.gov/legis/Law.aspx?d=111370,Annulment for vices of substance; peremption of action
CCP 2005,https://www.legis.la.gov/legis/Law.aspx?d=111371,Annulment of judgments; effect of appeal
CCP 2006,https://www.legis.la.gov/legis/Law.aspx?d=111372,Court where action brought
CCP 2031,https://www.legis.la.gov/legis/Law.aspx?d=111373,Revival of judgments
CCP 2081,https://www.legis.la.gov/legis/Law.aspx?d=111374,Applicability of Title
CCP 2082,https://www.legis.la.gov/legis/Law.aspx?d=111375,Definition of appeal
CCP 2083,https://www.legis.la.gov/legis/Law.aspx?d=111376,Judgments appealable
CCP 2084,https://www.legis.la.gov/legis/Law.aspx?d=111377,Legal representative may appeal
CCP 2085,https://www.legis.la.gov/legis/Law.aspx?d=111378,Limitations on appeals
CCP 2086,https://www.legis.la.gov/legis/Law.aspx?d=111379,Right of third person to appeal
CCP 2087,https://www.legis.la.gov/legis/Law.aspx?d=111380,Delay for taking devolutive appeal
CCP 2088,https://www.legis.la.gov/legis/Law.aspx?d=111381,Divesting of jurisdiction of trial court
CCP 2089,https://www.legis.la.gov/legis/Law.aspx?d=111382,Description required of immovable property affected by judgments or decrees
CCP 2121,https://www.legis.la.gov/legis/Law.aspx?d=111383,Method of appealing
CCP 2122,https://www.legis.la.gov/legis/Law.aspx?d=111384,Appointment or removal of legal representative not suspended by appeal; effect of vacating appointment on appeal
CCP 2123,https://www.legis.la.gov/legis/Law.aspx?d=111385,Delay for taking suspensive appeal
CCP 2124,https://www.legis.la.gov/legis/Law.aspx?d=111386,Security to be furnished for an appeal
CCP 2125,https://www.legis.la.gov/legis/Law.aspx?d=111387,Return day
CCP 2125.1,https://www.legis.la.gov/legis/Law.aspx?d=111388,Notice of extension of return day granted by clerk of trial court
CCP 2126,https://www.legis.la.gov/legis/Law.aspx?d=111389,Payment of costs
CCP 2127,https://www.legis.la.gov/legis/Law.aspx?d=111390,Record on appeal; preparation
CCP 2127.1,https://www.legis.la.gov/legis/Law.aspx?d=111391,Same; certified and dated
CCP 2127.2,https://www.legis.la.gov/legis/Law.aspx?d=111392,Same; preparation and delivery of transcript
CCP 2127.3,https://www.legis.la.gov/legis/Law.aspx?d=111393,Same; contempt
CCP 2128,https://www.legis.la.gov/legis/Law.aspx?d=111394,Same; determination of content
CCP 2128.1,https://www.legis.la.gov/legis/Law.aspx?d=813930,Depositions
CCP 2129,https://www.legis.la.gov/legis/Law.aspx?d=111395,Assignment of errors unnecessary; exception
CCP 2130,https://www.legis.la.gov/legis/Law.aspx?d=111396,Record on appeal; statement of facts
CCP 2131,https://www.legis.la.gov/legis/Law.aspx?d=111397,Same; narrative of facts
CCP 2132,https://www.legis.la.gov/legis/Law.aspx?d=111398,Same; correction
CCP 2133,https://www.legis.la.gov/legis/Law.aspx?d=111399,Answer of appellee; when necessary
CCP 2161,https://www.legis.la.gov/legis/Law.aspx?d=111400,Dismissal for irregularities
CCP 2162,https://www.legis.la.gov/legis/Law.aspx?d=111401,"Dismissal by consent of parties, or because of lack of jurisdiction or right to appeal, or abandonment; transfer"
CCP 2163,https://www.legis.la.gov/legis/Law.aspx?d=111402,Peremptory exception filed in appellate court; remand if prescription pleaded
CCP 2164,https://www.legis.la.gov/legis/Law.aspx?d=111403,Scope of appeal and action to be taken; costs
CCP 2164.1,https://www.legis.la.gov/legis/Law.aspx?d=1106206,Assignment of appellate panels
CCP 2165,https://www.legis.la.gov/legis/Law.aspx?d=111404,Appeals deemed abandoned
CCP 2166,https://www.legis.la.gov/legis/Law.aspx?d=111405,"Rehearing, court of appeal judgment; finality; stay"
CCP 2167,https://www.legis.la.gov/legis/Law.aspx?d=111406,"Rehearing, supreme court judgment; finality; stay"
CCP 2168,https://www.legis.la.gov/legis/Law.aspx?d=408238,Posting of unpublished opinions; citation
CCP 2201,https://www.legis.la.gov/legis/Law.aspx?d=111407,Supervisory writs
CCP 2251,https://www.legis.la.gov/legis/Law.aspx?d=111414,Execution only in trial court; appellate court judgment
CCP 2252,https://www.legis.la.gov/legis/Law.aspx?d=111415,Delay before proceeding with execution
CCP 2253,https://www.legis.la.gov/legis/Law.aspx?d=111416,Writ from clerk to sheriff
CCP 2254,https://www.legis.la.gov/legis/Law.aspx?d=111417,Execution by sheriff; return; wrongful seizure
CCP 2291,https://www.legis.la.gov/legis/Law.aspx?d=111420,Money judgment; fieri facias
CCP 2292,https://www.legis.la.gov/legis/Law.aspx?d=111421,Privilege of creditor on seized property; successive seizures
CCP 2293,https://www.legis.la.gov/legis/Law.aspx?d=111422,Notice to judgment debtor; appointment of attorney
CCP 2294,https://www.legis.la.gov/legis/Law.aspx?d=111423,Time for seizure; return
CCP 2294.1,https://www.legis.la.gov/legis/Law.aspx?d=111424,Time for seizure; return; city courts in Orleans Parish
CCP 2295,https://www.legis.la.gov/legis/Law.aspx?d=111425,Order of sale; sale in globo
CCP 2296,https://www.legis.la.gov/legis/Law.aspx?d=111426,Reduction of excessive seizure
CCP 2297,https://www.legis.la.gov/legis/Law.aspx?d=111427,Alias fieri facias
CCP 2298,https://www.legis.la.gov/legis/Law.aspx?d=111428,Injunction prohibiting sale; damages
CCP 2299,https://www.legis.la.gov/legis/Law.aspx?d=111429,Order prohibiting payment of proceeds of sale
CCP 2331,https://www.legis.la.gov/legis/Law.aspx?d=111430,Publication of notice of sale
CCP 2332,https://www.legis.la.gov/legis/Law.aspx?d=111431,Appraisal
CCP 2333,https://www.legis.la.gov/legis/Law.aspx?d=111432,Sale of perishable property
CCP 2334,https://www.legis.la.gov/legis/Law.aspx?d=111433,Reading of advertisement and certificates
CCP 2335,https://www.legis.la.gov/legis/Law.aspx?d=111434,Superior mortgage or privilege
CCP 2336,https://www.legis.la.gov/legis/Law.aspx?d=111435,Minimum price; second offering
CCP 2336.1,https://www.legis.la.gov/legis/Law.aspx?d=1293535,Determination of superior encumbrances or privileges
CCP 2337,https://www.legis.la.gov/legis/Law.aspx?d=111436,Price insufficient to discharge superior privileges; property not sold
CCP 2338,https://www.legis.la.gov/legis/Law.aspx?d=111437,Judgment creditor having superior privilege; price insufficient to satisfy inferior mortgage
CCP 2339,https://www.legis.la.gov/legis/Law.aspx?d=111438,Judgment debtor and creditor may bid
CCP 2340,https://www.legis.la.gov/legis/Law.aspx?d=111439,Payment of debt prior to adjudication
CCP 2341,https://www.legis.la.gov/legis/Law.aspx?d=111440,Sale when installment not due
CCP 2342,https://www.legis.la.gov/legis/Law.aspx?d=111441,Act of sale by sheriff
CCP 2343,https://www.legis.la.gov/legis/Law.aspx?d=111442,Sheriff's return after sale
CCP 2344,https://www.legis.la.gov/legis/Law.aspx?d=1336040,Online auctions
CCP 2371,https://www.legis.la.gov/legis/Law.aspx?d=111443,Effect of adjudication
CCP 2372,https://www.legis.la.gov/legis/Law.aspx?d=111444,Sale subject to superior real charge or lease
CCP 2373,https://www.legis.la.gov/legis/Law.aspx?d=111445,Distribution of proceeds of sale
CCP 2374,https://www.legis.la.gov/legis/Law.aspx?d=111446,Property subject to superior mortgage; payment of price
CCP 2375,https://www.legis.la.gov/legis/Law.aspx?d=111447,Purchaser's liability; property subject to inferior mortgages
CCP 2376,https://www.legis.la.gov/legis/Law.aspx?d=111448,"Release of inferior mortgages, liens, and privileges"
CCP 2377,https://www.legis.la.gov/legis/Law.aspx?d=111449,Inferior mortgages; payment; reference to proceeds
CCP 2378,https://www.legis.la.gov/legis/Law.aspx?d=111450,Enforcement of mortgage or privilege superior to that of seizing creditor
CCP 2379,https://www.legis.la.gov/legis/Law.aspx?d=111451,Rights of buyer in case of eviction
CCP 2380,https://www.legis.la.gov/legis/Law.aspx?d=111452,Loss of recourse when purchaser fails to give judgment debtor timely notice
CCP 2381,https://www.legis.la.gov/legis/Law.aspx?d=111453,Action by seizing creditor who has been compelled to reimburse purchaser
CCP 2411,https://www.legis.la.gov/legis/Law.aspx?d=111454,Garnishee; effect of service; financial institutions
CCP 2412,https://www.legis.la.gov/legis/Law.aspx?d=111455,Method of service; delay for answering
CCP 2413,https://www.legis.la.gov/legis/Law.aspx?d=111456,Effect of garnishee's failure to answer
CCP 2414,https://www.legis.la.gov/legis/Law.aspx?d=111457,Notice of answer; traversing
CCP 2415,https://www.legis.la.gov/legis/Law.aspx?d=111458,Delivery of property or payment of indebtedness to sheriff
CCP 2416,https://www.legis.la.gov/legis/Law.aspx?d=111459,Venue of garnishment proceedings
CCP 2417,https://www.legis.la.gov/legis/Law.aspx?d=111460,Garnishment in court other than one which rendered judgment
CCP 2451,https://www.legis.la.gov/legis/Law.aspx?d=111461,Examination of judgment debtor and third parties; depositions
CCP 2452,https://www.legis.la.gov/legis/Law.aspx?d=111462,Court where motion filed and examination conducted
CCP 2453,https://www.legis.la.gov/legis/Law.aspx?d=111463,Motion; order; service
CCP 2454,https://www.legis.la.gov/legis/Law.aspx?d=111464,Oath; testimony not used in criminal proceedings
CCP 2455,https://www.legis.la.gov/legis/Law.aspx?d=111465,Costs
CCP 2456,https://www.legis.la.gov/legis/Law.aspx?d=111466,Contempt
